id,shopping_mall,category,product_name,description,price
1,Musinsa,신발,나이키 에어 줌 페가수스 40,러닝과 조깅에 적합한 쿠셔닝 운동화,129000
2,Coupang,신발,아디다스 울트라부스트,장시간 달리기에 좋은 편안한 러닝화,159000
3,29CM,신발,뉴발란스 530,가벼운 워킹과 데일리 착용에 적합한 스니커즈,99000
4,Musinsa,의류,오버핏 린넨 셔츠,여름에 시원하게 입기 좋은 남성 셔츠,49000
5,Coupang,의류,쿨링 반팔 티셔츠,통기성이 뛰어난 여름용 기능성 반팔,19900
6,WConcept,의류,와이드 데님 팬츠,편안한 핏의 캐주얼 청바지,59000
7,29CM,가방,노트북 백팩,대학생과 직장인을 위한 수납형 백팩,79000
8,Coupang,가방,여행용 캐리어 24인치,해외 여행에 적합한 대형 캐리어,119000
9,Musinsa,전자기기,무선 블루투스 이어폰,운동 중 사용하기 좋은 방수 이어폰,89000
10,11st,전자기기,게이밍 기계식 키보드,RGB LED를 지원하는 청축 키보드,129000
11,WConcept,신발,호카오네오네 러닝화,마라톤과 장거리 러닝에 적합한 운동화,189000
12,Coupang,의류,요가 레깅스,스트레칭과 요가 운동용 여성 레깅스,35000
13,Musinsa,의류,후드 집업,간절기에 입기 좋은 캐주얼 후드,45000
14,29CM,캠핑,폴딩 캠핑 의자,야외 활동과 캠핑용 접이식 의자,39000
15,11st,전자기기,스마트워치,심박수 측정과 운동 기록 기능 지원,249000
